datetime,batch_id,factor,rank_ic,pair_count,factor_missing_count,label_missing_count,tie_method
2021-02-01,alpha158_001,alpha158_CNTD10,-0.2606735242150331,1993,0,7,average
2021-02-01,alpha158_001,alpha158_CNTD20,-0.2688753853245197,1993,0,7,average
2021-02-01,alpha158_001,alpha158_CNTD30,-0.36426927710770607,1993,0,7,average
2021-02-01,alpha158_001,alpha158_CNTD5,-0.043528193295248055,1993,0,7,average
2021-02-01,alpha158_001,alpha158_CNTD60,-0.36293158368501893,1993,0,7,average
2021-02-02,alpha158_001,alpha158_CNTD10,-0.3654497176791531,1993,0,7,average
2021-02-02,alpha158_001,alpha158_CNTD20,-0.27233824016772173,1993,0,7,average
2021-02-02,alpha158_001,alpha158_CNTD30,-0.3689056015023493,1993,0,7,average
2021-02-02,alpha158_001,alpha158_CNTD5,-0.19207787172080715,1993,0,7,average
2021-02-02,alpha158_001,alpha158_CNTD60,-0.3735746978312139,1993,0,7,average
2021-02-03,alpha158_001,alpha158_CNTD10,-0.3309817029683251,1993,0,7,average
2021-02-03,alpha158_001,alpha158_CNTD20,-0.28478726040079505,1993,0,7,average
2021-02-03,alpha158_001,alpha158_CNTD30,-0.3592854362703485,1993,0,7,average
2021-02-03,alpha158_001,alpha158_CNTD5,-0.23429221213514195,1993,0,7,average
2021-02-03,alpha158_001,alpha158_CNTD60,-0.38106713114291396,1993,0,7,average
2021-02-04,alpha158_001,alpha158_CNTD10,-0.29110018422325457,1992,0,8,average
2021-02-04,alpha158_001,alpha158_CNTD20,-0.22631401119970457,1992,0,8,average
2021-02-04,alpha158_001,alpha158_CNTD30,-0.3128389408028939,1992,0,8,average
2021-02-04,alpha158_001,alpha158_CNTD5,-0.2691317913225207,1992,0,8,average
2021-02-04,alpha158_001,alpha158_CNTD60,-0.33508738838884045,1992,0,8,average
2021-02-05,alpha158_001,alpha158_CNTD10,-0.2589502908149829,1991,0,9,average
2021-02-05,alpha158_001,alpha158_CNTD20,-0.27852229278086543,1991,0,9,average
2021-02-05,alpha158_001,alpha158_CNTD30,-0.3448728930458691,1991,0,9,average
2021-02-05,alpha158_001,alpha158_CNTD5,-0.26119774767643805,1991,0,9,average
2021-02-05,alpha158_001,alpha158_CNTD60,-0.3702160787592705,1991,0,9,average
2021-02-08,alpha158_001,alpha158_CNTD10,-0.20771464351813002,1992,0,8,average
2021-02-08,alpha158_001,alpha158_CNTD20,-0.25661335426147025,1992,0,8,average
2021-02-08,alpha158_001,alpha158_CNTD30,-0.3907585650253286,1992,0,8,average
2021-02-08,alpha158_001,alpha158_CNTD5,-0.24752068433759047,1992,0,8,average
2021-02-08,alpha158_001,alpha158_CNTD60,-0.41792935904221223,1992,0,8,average
2021-02-09,alpha158_001,alpha158_CNTD10,-0.2391832319224717,1995,0,5,average
2021-02-09,alpha158_001,alpha158_CNTD20,-0.23106628887756717,1995,0,5,average
2021-02-09,alpha158_001,alpha158_CNTD30,-0.36116076821158577,1995,0,5,average
2021-02-09,alpha158_001,alpha158_CNTD5,-0.1750917871868799,1995,0,5,average
2021-02-09,alpha158_001,alpha158_CNTD60,-0.42508668620500856,1995,0,5,average
2021-02-10,alpha158_001,alpha158_CNTD10,-0.19217649535733167,1991,0,9,average
2021-02-10,alpha158_001,alpha158_CNTD20,-0.19237595077815242,1991,0,9,average
2021-02-10,alpha158_001,alpha158_CNTD30,-0.31859619457834715,1991,0,9,average
2021-02-10,alpha158_001,alpha158_CNTD5,-0.11847699204367966,1991,0,9,average
2021-02-10,alpha158_001,alpha158_CNTD60,-0.3798356699957661,1991,0,9,average
2021-02-18,alpha158_001,alpha158_CNTD10,-0.11297286421963787,1994,0,6,average
2021-02-18,alpha158_001,alpha158_CNTD20,-0.14210087051039333,1994,0,6,average
2021-02-18,alpha158_001,alpha158_CNTD30,-0.22658177361937296,1994,0,6,average
2021-02-18,alpha158_001,alpha158_CNTD5,0.07712040617636053,1994,0,6,average
2021-02-18,alpha158_001,alpha158_CNTD60,-0.3234853867408544,1994,0,6,average
2021-02-19,alpha158_001,alpha158_CNTD10,0.010706805217471535,1997,0,3,average
2021-02-19,alpha158_001,alpha158_CNTD20,-0.1083735510436944,1997,0,3,average
2021-02-19,alpha158_001,alpha158_CNTD30,-0.1396702667508315,1997,0,3,average
2021-02-19,alpha158_001,alpha158_CNTD5,0.12191152903294555,1997,0,3,average
2021-02-19,alpha158_001,alpha158_CNTD60,-0.23687113463344264,1997,0,3,average
2021-02-22,alpha158_001,alpha158_CNTD10,0.08606550267184827,1995,0,5,average
2021-02-22,alpha158_001,alpha158_CNTD20,-0.07932623647134607,1995,0,5,average
2021-02-22,alpha158_001,alpha158_CNTD30,-0.11447140337737545,1995,0,5,average
2021-02-22,alpha158_001,alpha158_CNTD5,0.25811557010639735,1995,0,5,average
2021-02-22,alpha158_001,alpha158_CNTD60,-0.25594541017501843,1995,0,5,average
2021-02-23,alpha158_001,alpha158_CNTD10,0.10450344719944313,1995,0,5,average
2021-02-23,alpha158_001,alpha158_CNTD20,-0.12292055307263659,1995,0,5,average
2021-02-23,alpha158_001,alpha158_CNTD30,-0.0779712147480272,1995,0,5,average
2021-02-23,alpha158_001,alpha158_CNTD5,0.18141556893459873,1995,0,5,average
2021-02-23,alpha158_001,alpha158_CNTD60,-0.2233596454448677,1995,0,5,average
2021-02-24,alpha158_001,alpha158_CNTD10,0.14487007815005562,1996,0,4,average
2021-02-24,alpha158_001,alpha158_CNTD20,-0.042668414644553114,1996,0,4,average
2021-02-24,alpha158_001,alpha158_CNTD30,-0.04455847915560589,1996,0,4,average
2021-02-24,alpha158_001,alpha158_CNTD5,0.21292611138028633,1996,0,4,average
2021-02-24,alpha158_001,alpha158_CNTD60,-0.20736725612230555,1996,0,4,average
2021-02-25,alpha158_001,alpha158_CNTD10,0.10051102596317278,1994,0,6,average
2021-02-25,alpha158_001,alpha158_CNTD20,-0.008826076286176753,1994,0,6,average
2021-02-25,alpha158_001,alpha158_CNTD30,-0.0030703793482706374,1994,0,6,average
2021-02-25,alpha158_001,alpha158_CNTD5,0.08660839189639871,1994,0,6,average
2021-02-25,alpha158_001,alpha158_CNTD60,-0.13576882767990958,1994,0,6,average
2021-02-26,alpha158_001,alpha158_CNTD10,0.07801683507447048,1995,0,5,average
2021-02-26,alpha158_001,alpha158_CNTD20,0.034300008783961715,1995,0,5,average
2021-02-26,alpha158_001,alpha158_CNTD30,-0.022548079924692547,1995,0,5,average
2021-02-26,alpha158_001,alpha158_CNTD5,0.05403109281043474,1995,0,5,average
2021-02-26,alpha158_001,alpha158_CNTD60,-0.11558811600996174,1995,0,5,average
2021-03-01,alpha158_001,alpha158_CNTD10,0.01798753301581874,1995,0,5,average
2021-03-01,alpha158_001,alpha158_CNTD20,0.02997294031960326,1995,0,5,average
2021-03-01,alpha158_001,alpha158_CNTD30,-0.015107423726630846,1995,0,5,average
2021-03-01,alpha158_001,alpha158_CNTD5,-0.04142560070319806,1995,0,5,average
2021-03-01,alpha158_001,alpha158_CNTD60,-0.07902572439715046,1995,0,5,average
2021-03-02,alpha158_001,alpha158_CNTD10,0.08682934421403113,1994,0,6,average
2021-03-02,alpha158_001,alpha158_CNTD20,0.04675644237521585,1994,0,6,average
2021-03-02,alpha158_001,alpha158_CNTD30,-0.0056958744326891355,1994,0,6,average
